team,kenpom_rank,kenpom_adj_em,source_date,source_url
Duke,1,38.90,2026-03-15,https://kenpom.com/index.php
Arizona,2,37.66,2026-03-15,https://kenpom.com/index.php
Michigan,3,37.59,2026-03-15,https://kenpom.com/index.php
Florida,4,33.79,2026-03-15,https://kenpom.com/index.php
Houston,5,33.43,2026-03-15,https://kenpom.com/index.php
Iowa State,6,32.42,2026-03-15,https://kenpom.com/index.php
Illinois,7,32.10,2026-03-15,https://kenpom.com/index.php
Purdue,8,31.20,2026-03-15,https://kenpom.com/index.php
Michigan State,9,28.31,2026-03-15,https://kenpom.com/index.php
Gonzaga,10,28.10,2026-03-15,https://kenpom.com/index.php
UConn,11,27.87,2026-03-15,https://kenpom.com/index.php
Vanderbilt,12,27.51,2026-03-15,https://kenpom.com/index.php
Virginia,13,26.71,2026-03-15,https://kenpom.com/index.php
Nebraska,14,26.16,2026-03-15,https://kenpom.com/index.php
Arkansas,15,26.05,2026-03-15,https://kenpom.com/index.php
Tennessee,16,26.02,2026-03-15,https://kenpom.com/index.php
St. John's,17,25.91,2026-03-15,https://kenpom.com/index.php
Alabama,19,25.72,2026-03-15,https://kenpom.com/index.php
Louisville,20,25.42,2026-03-15,https://kenpom.com/index.php
Texas Tech,20,25.22,2026-03-15,https://kenpom.com/index.php
Kansas,21,24.44,2026-03-15,https://kenpom.com/index.php
Wisconsin,22,23.39,2026-03-15,https://kenpom.com/index.php
BYU,23,23.25,2026-03-15,https://kenpom.com/index.php
Saint Mary's,24,23.07,2026-03-15,https://kenpom.com/index.php
Iowa,25,22.44,2026-03-15,https://kenpom.com/index.php
Ohio State,26,22.24,2026-03-15,https://kenpom.com/index.php
UCLA,27,21.67,2026-03-15,https://kenpom.com/index.php
Kentucky,28,21.48,2026-03-15,https://kenpom.com/index.php
North Carolina,29,20.84,2026-03-15,https://kenpom.com/index.php
Utah State,30,20.76,2026-03-15,https://kenpom.com/index.php
Miami (FL),31,20.68,2026-03-15,https://kenpom.com/index.php
Georgia,32,20.48,2026-03-15,https://kenpom.com/index.php
Villanova,33,19.97,2026-03-15,https://kenpom.com/index.php
NC State,34,19.60,2026-03-15,https://kenpom.com/index.php
Santa Clara,35,19.40,2026-03-15,https://kenpom.com/index.php
Clemson,36,19.24,2026-03-15,https://kenpom.com/index.php
Texas,37,19.03,2026-03-15,https://kenpom.com/index.php
Texas A&M,39,18.67,2026-03-15,https://kenpom.com/index.php
Saint Louis,41,18.32,2026-03-15,https://kenpom.com/index.php
SMU,42,18.09,2026-03-15,https://kenpom.com/index.php
TCU,43,17.59,2026-03-15,https://kenpom.com/index.php
VCU,45,17.21,2026-03-15,https://kenpom.com/index.php
South Florida,47,16.39,2026-03-15,https://kenpom.com/index.php
Missouri,52,15.39,2026-03-15,https://kenpom.com/index.php
UCF,54,15.04,2026-03-15,https://kenpom.com/index.php
Akron,64,12.80,2026-03-15,https://kenpom.com/index.php
McNeese,68,12.48,2026-03-15,https://kenpom.com/index.php
Northern Iowa,72,11.81,2026-03-15,https://kenpom.com/index.php
Hofstra,87,9.49,2026-03-15,https://kenpom.com/index.php
High Point,92,8.40,2026-03-15,https://kenpom.com/index.php
Miami (OH),93,8.26,2026-03-15,https://kenpom.com/index.php
California Baptist,106,5.99,2026-03-15,https://kenpom.com/index.php
Hawaii,108,5.97,2026-03-15,https://kenpom.com/index.php
North Dakota State,113,5.13,2026-03-15,https://kenpom.com/index.php
Wright State,140,2.04,2026-03-15,https://kenpom.com/index.php
Troy,143,1.72,2026-03-15,https://kenpom.com/index.php
Idaho,145,1.53,2026-03-15,https://kenpom.com/index.php
Penn,150,1.47,2026-03-15,https://kenpom.com/index.php
Kennesaw State,163,0.57,2026-03-15,https://kenpom.com/index.php
Queens,181,-1.44,2026-03-15,https://kenpom.com/index.php
UMBC,185,-1.67,2026-03-15,https://kenpom.com/index.php
Tennessee State,187,-1.83,2026-03-15,https://kenpom.com/index.php
Furman,191,-1.98,2026-03-15,https://kenpom.com/index.php
Siena,192,-2.10,2026-03-15,https://kenpom.com/index.php
Howard,207,-3.19,2026-03-15,https://kenpom.com/index.php
LIU,216,-3.95,2026-03-15,https://kenpom.com/index.php
Lehigh,284,-10.37,2026-03-15,https://kenpom.com/index.php
Prairie View A&M,288,-10.69,2026-03-15,https://kenpom.com/index.php
